peak_name,text,text_list,peak_loc,text_set,target
Mika-Mare,"Mika-Mare is a lesser-known mountain that offers a serene escape from the bustling city life, with its untouched landscapes and fresh mountain air.","['Mika', 'Mare', 'is', 'a', 'lesser', 'known', 'mountain', 'that', 'offers', 'a', 'serene', 'escape', 'from', 'the', 'bustling', 'city', 'life', ',', 'with', 'its', 'untouched', 'landscapes', 'and', 'fresh', 'mountain', 'air', '.']","(0, 9)","[('Mika', 0), ('Mare', 5), ('is', 10), ('a', 13), ('lesser', 15), ('known', 22), ('mountain', 28), ('that', 37), ('offers', 42), ('a', 49), ('serene', 51), ('escape', 58), ('from', 65), ('the', 70), ('bustling', 74), ('city', 83), ('life', 88), (',', 92), ('with', 94), ('its', 99), ('untouched', 103), ('landscapes', 113), ('and', 114), ('fresh', 128), ('mountain', 134), ('air', 143), ('.', 146)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ihrovets,"Ihrovets is a majestic mountain that stands tall in the Ukrainian Carpathians, commanding awe and admiration from all who visit.","['Ihrovets', 'is', 'a', 'majestic', 'mountain', 'that', 'stands', 'tall', 'in', 'the', 'Ukrainian', 'Carpathians', ',', 'commanding', 'awe', 'and', 'admiration', 'from', 'all', 'who', 'visit', '.']","(0, 8)","[('Ihrovets', 0), ('is', 9), ('a', 12), ('majestic', 14), ('mountain', 23), ('that', 32), ('stands', 37), ('tall', 44), ('in', 49), ('the', 52), ('Ukrainian', 56), ('Carpathians', 66), (',', 77), ('commanding', 79), ('awe', 90), ('and', 94), ('admiration', 98), ('from', 109), ('all', 114), ('who', 118), ('visit', 122), ('.', 127)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Vysoka,Vysoka is a majestic peak that rewards hikers with breathtaking views of the surrounding mountain ranges and valleys.,"['Vysoka', 'is', 'a', 'majestic', 'peak', 'that', 'rewards', 'hikers', 'with', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'mountain', 'ranges', 'and', 'valleys', '.']","(0, 6)","[('Vysoka', 0), ('is', 7), ('a', 10), ('majestic', 12), ('peak', 21), ('that', 26), ('rewards', 31), ('hikers', 39), ('with', 46), ('breathtaking', 51), ('views', 64), ('of', 70), ('the', 73), ('surrounding', 77), ('mountain', 89), ('ranges', 98), ('and', 105), ('valleys', 109), ('.', 116)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Bratkovska,"Bratkovska is a hidden gem in the Carpathians, offering a peaceful and secluded retreat for nature enthusiasts.","['Bratkovska', 'is', 'a', 'hidden', 'gem', 'in', 'the', 'Carpathians', ',', 'offering', 'a', 'peaceful', 'and', 'secluded', 'retreat', 'for', 'nature', 'enthusiasts', '.']","(0, 10)","[('Bratkovska', 0), ('is', 11), ('a', 14), ('hidden', 16), ('gem', 23), ('in', 27), ('the', 30), ('Carpathians', 34), (',', 45), ('offering', 47), ('a', 56), ('peaceful', 58), ('and', 67), ('secluded', 71), ('retreat', 80), ('for', 88), ('nature', 92), ('enthusiasts', 99), ('.', 110)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sherin,Sherin is a captivating mountain that enchants visitors with its mystical atmosphere and stunning vistas.,"['Sherin', 'is', 'a', 'captivating', 'mountain', 'that', 'enchants', 'visitors', 'with', 'its', 'mystical', 'atmosphere', 'and', 'stunning', 'vistas', '.']","(0, 6)","[('Sherin', 0), ('is', 7), ('a', 10), ('captivating', 12), ('mountain', 24), ('that', 33), ('enchants', 38), ('visitors', 47), ('with', 56), ('its', 61), ('mystical', 65), ('atmosphere', 74), ('and', 85), ('stunning', 89), ('vistas', 98), ('.', 104)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lostun,Lostun is a majestic peak that offers breathtaking views of the surrounding valleys and forests.,"['Lostun', 'is', 'a', 'majestic', 'peak', 'that', 'offers', 'breathtaking', 'views', 'of', 'the', 'surrounding', 'valleys', 'and', 'forests', '.']","(0, 6)","[('Lostun', 0), ('is', 7), ('a', 10), ('majestic', 12), ('peak', 21), ('that', 26), ('offers', 31), ('breathtaking', 38), ('views', 51), ('of', 57), ('the', 60), ('surrounding', 64), ('valleys', 76), ('and', 84), ('forests', 88), ('.', 95)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Streminos,"Streminos is a challenging mountain with steep slopes and rocky terrain, attracting experienced climbers and adventurers.","['Streminos', 'is', 'a', 'challenging', 'mountain', 'with', 'steep', 'slopes', 'and', 'rocky', 'terrain', ',', 'attracting', 'experienced', 'climbers', 'and', 'adventurers', '.']","(0, 9)","[('Streminos', 0), ('is', 10), ('a', 13), ('challenging', 15), ('mountain', 27), ('with', 36), ('steep', 41), ('slopes', 47), ('and', 54), ('rocky', 58), ('terrain', 64), (',', 71), ('attracting', 73), ('experienced', 84), ('climbers', 96), ('and', 105), ('adventurers', 109), ('.', 120)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Stepanets,"Stepanets is a hidden gem nestled amidst lush green meadows, providing a serene and peaceful hiking experience.","['Stepanets', 'is', 'a', 'hidden', 'gem', 'nestled', 'amidst', 'lush', 'green', 'meadows', ',', 'providing', 'a', 'serene', 'and', 'peaceful', 'hiking', 'experience', '.']","(0, 9)","[('Stepanets', 0), ('is', 10), ('a', 13), ('hidden', 15), ('gem', 22), ('nestled', 26), ('amidst', 34), ('lush', 41), ('green', 46), ('meadows', 52), (',', 59), ('providing', 61), ('a', 71), ('serene', 73), ('and', 80), ('peaceful', 84), ('hiking', 93), ('experience', 100), ('.', 110)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mala Kurtyaska,Mala Kurtyaska is a small but beautiful mountain known for its vibrant wildflowers and picturesque landscapes.,"['Mala', 'Kurtyaska', 'is', 'a', 'small', 'but', 'beautiful', 'mountain', 'known', 'for', 'its', 'vibrant', 'wildflowers', 'and', 'picturesque', 'landscapes', '.']","(0, 14)","[('Mala', 0), ('Kurtyaska', 5), ('is', 15), ('a', 18), ('small', 20), ('but', 26), ('beautiful', 30), ('mountain', 40), ('known', 49), ('for', 55), ('its', 59), ('vibrant', 63), ('wildflowers', 71), ('and', 83), ('picturesque', 87), ('landscapes', 99), ('.', 109)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kanyusyak-Velyky,Kanyusyak-Velyky is a towering peak that commands attention with its snow-capped summit and rugged cliffs.,"['Kanyusyak', 'Velyky', 'is', 'a', 'towering', 'peak', 'that', 'commands', 'attention', 'with', 'its', 'snow', 'capped', 'summit', 'and', 'rugged', 'cliffs', '.']","(0, 16)","[('Kanyusyak', 0), ('Velyky', 10), ('is', 17), ('a', 20), ('towering', 22), ('peak', 31), ('that', 36), ('commands', 41), ('attention', 50), ('with', 60), ('its', 65), ('snow', 69), ('capped', 74), ('summit', 81), ('and', 88), ('rugged', 92), ('cliffs', 99), ('.', 105)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Serednya,"Serednya offers an intermediate-level trek, rewarding hikers with panoramic vistas of the surrounding mountain ranges.","['Serednya', 'offers', 'an', 'intermediate', 'level', 'trek', ',', 'rewarding', 'hikers', 'with', 'panoramic', 'vistas', 'of', 'the', 'surrounding', 'mountain', 'ranges', '.']","(0, 8)","[('Serednya', 0), ('offers', 9), ('an', 16), ('intermediate', 19), ('level', 32), ('trek', 38), (',', 42), ('rewarding', 44), ('hikers', 54), ('with', 61), ('panoramic', 66), ('vistas', 76), ('of', 83), ('the', 86), ('surrounding', 90), ('mountain', 102), ('ranges', 111), ('.', 117)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Stranjul,Stranjul is an enchanting mountain characterized by its mystical misty atmosphere and ancient folklore.,"['Stranjul', 'is', 'an', 'enchanting', 'mountain', 'characterized', 'by', 'its', 'mystical', 'misty', 'atmosphere', 'and', 'ancient', 'folklore', '.']","(0, 8)","[('Stranjul', 0), ('is', 9), ('an', 12), ('enchanting', 15), ('mountain', 26), ('characterized', 35), ('by', 49), ('its', 52), ('mystical', 56), ('misty', 65), ('atmosphere', 71), ('and', 82), ('ancient', 86), ('folklore', 94), ('.', 102)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pidpula,Pidpula is a lesser-known mountain that surprises visitors with its hidden waterfalls and tranquil mountain streams.,"['Pidpula', 'is', 'a', 'lesser', 'known', 'mountain', 'that', 'surprises', 'visitors', 'with', 'its', 'hidden', 'waterfalls', 'and', 'tranquil', 'mountain', 'streams', '.']","(0, 7)","[('Pidpula', 0), ('is', 8), ('a', 11), ('lesser', 13), ('known', 20), ('mountain', 26), ('that', 35), ('surprises', 40), ('visitors', 50), ('with', 59), ('its', 64), ('hidden', 68), ('waterfalls', 75), ('and', 86), ('tranquil', 90), ('mountain', 99), ('streams', 108), ('.', 115)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Velyka Kurtyaska,Velyka Kurtyaska is a grand mountain that captivates with its majestic presence and awe-inspiring vistas.,"['Velyka', 'Kurtyaska', 'is', 'a', 'grand', 'mountain', 'that', 'captivates', 'with', 'its', 'majestic', 'presence', 'and', 'awe', 'inspiring', 'vistas', '.']","(0, 16)","[('Velyka', 0), ('Kurtyaska', 7), ('is', 17), ('a', 20), ('grand', 22), ('mountain', 28), ('that', 37), ('captivates', 42), ('with', 53), ('its', 58), ('majestic', 62), ('presence', 71), ('and', 80), ('awe', 84), ('inspiring', 88), ('vistas', 98), ('.', 104)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Kanyusyak-Maly,"Kanyusyak-Maly is a smaller sibling of Kanyusyak-Velyky, but it still offers breathtaking views and thrilling trails.","['Kanyusyak', 'Maly', 'is', 'a', 'smaller', 'sibling', 'of', 'Kanyusyak', 'Velyky', ',', 'but', 'it', 'still', 'offers', 'breathtaking', 'views', 'and', 'thrilling', 'trails', '.']","(0, 14)","[('Kanyusyak', 0), ('Maly', 10), ('is', 15), ('a', 18), ('smaller', 20), ('sibling', 28), ('of', 36), ('Kanyusyak', 39), ('Velyky', 49), (',', 55), ('but', 57), ('it', 61), ('still', 64), ('offers', 70), ('breathtaking', 77), ('views', 90), ('and', 96), ('thrilling', 100), ('trails', 110), ('.', 116)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Purul,Purul is a remote mountain that beckons adventure seekers with its untouched wilderness and rugged beauty.,"['Purul', 'is', 'a', 'remote', 'mountain', 'that', 'beckons', 'adventure', 'seekers', 'with', 'its', 'untouched', 'wilderness', 'and', 'rugged', 'beauty', '.']","(0, 5)","[('Purul', 0), ('is', 6), ('a', 9), ('remote', 11), ('mountain', 18), ('that', 27), ('beckons', 32), ('adventure', 40), ('seekers', 50), ('with', 58), ('its', 63), ('untouched', 67), ('wilderness', 77), ('and', 88), ('rugged', 92), ('beauty', 99), ('.', 105)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Oval,"Oval is a unique mountain with its distinctive oval-shaped summit, providing a one-of-a-kind hiking experience.","['Oval', 'is', 'a', 'unique', 'mountain', 'with', 'its', 'distinctive', 'oval', 'shaped', 'summit', ',', 'providing', 'a', 'one', 'of', 'a', 'kind', 'hiking', 'experience', '.']","(0, 4)","[('Oval', 0), ('is', 5), ('a', 8), ('unique', 10), ('mountain', 17), ('with', 26), ('its', 31), ('distinctive', 35), ('oval', 47), ('shaped', 52), ('summit', 59), (',', 65), ('providing', 67), ('a', 77), ('one', 79), ('of', 83), ('a', 86), ('kind', 88), ('hiking', 93), ('experience', 100), ('.', 110)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Velyka Ketula,Velyka Ketula is a magnificent mountain renowned for its pristine alpine lakes and panoramic vistas.,"['Velyka', 'Ketula', 'is', 'a', 'magnificent', 'mountain', 'renowned', 'for', 'its', 'pristine', 'alpine', 'lakes', 'and', 'panoramic', 'vistas', '.']","(0, 13)","[('Velyka', 0), ('Ketula', 7), ('is', 14), ('a', 17), ('magnificent', 19), ('mountain', 31), ('renowned', 40), ('for', 49), ('its', 53), ('pristine', 57), ('alpine', 66), ('lakes', 73), ('and', 79), ('panoramic', 83), ('vistas', 93), ('.', 99)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pokhreptyna,Pokhreptyna is a challenging mountain that rewards brave mountaineers with stunning views from its lofty peaks.,"['Pokhreptyna', 'is', 'a', 'challenging', 'mountain', 'that', 'rewards', 'brave', 'mountaineers', 'with', 'stunning', 'views', 'from', 'its', 'lofty', 'peaks', '.']","(0, 11)","[('Pokhreptyna', 0), ('is', 12), ('a', 15), ('challenging', 17), ('mountain', 29), ('that', 38), ('rewards', 43), ('brave', 51), ('mountaineers', 57), ('with', 70), ('stunning', 75), ('views', 84), ('from', 90), ('its', 95), ('lofty', 99), ('peaks', 105), ('.', 110)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Yasnovets,Yasnovets is a serene mountain where nature enthusiasts can immerse themselves in the tranquility of the surrounding forests.,"['Yasnovets', 'is', 'a', 'serene', 'mountain', 'where', 'nature', 'enthusiasts', 'can', 'immerse', 'themselves', 'in', 'the', 'tranquility', 'of', 'the', 'surrounding', 'forests', '.']","(0, 9)","[('Yasnovets', 0), ('is', 10), ('a', 13), ('serene', 15), ('mountain', 22), ('where', 31), ('nature', 37), ('enthusiasts', 44), ('can', 56), ('immerse', 60), ('themselves', 68), ('in', 79), ('the', 82), ('tranquility', 86), ('of', 98), ('the', 101), ('surrounding', 105), ('forests', 117), ('.', 124)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Studena,Studena is a refreshing mountain with numerous crystal-clear streams and cascading waterfalls.,"['Studena', 'is', 'a', 'refreshing', 'mountain', 'with', 'numerous', 'crystal', 'clear', 'streams', 'and', 'cascading', 'waterfalls', '.']","(0, 7)","[('Studena', 0), ('is', 8), ('a', 11), ('refreshing', 13), ('mountain', 24), ('with', 33), ('numerous', 38), ('crystal', 47), ('clear', 55), ('streams', 61), ('and', 69), ('cascading', 73), ('waterfalls', 83), ('.', 93)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mala Popadya,"Mala Popadya is a hidden gem, offering a peaceful retreat amidst lush green meadows and blooming wildflowers.","['Mala', 'Popadya', 'is', 'a', 'hidden', 'gem', ',', 'offering', 'a', 'peaceful', 'retreat', 'amidst', 'lush', 'green', 'meadows', 'and', 'blooming', 'wildflowers', '.']","(0, 12)","[('Mala', 0), ('Popadya', 5), ('is', 13), ('a', 16), ('hidden', 18), ('gem', 25), (',', 28), ('offering', 30), ('a', 39), ('peaceful', 41), ('retreat', 50), ('amidst', 58), ('lush', 65), ('green', 70), ('meadows', 76), ('and', 84), ('blooming', 88), ('wildflowers', 97), ('.', 108)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Perednya,Perednya is a lesser-known mountain that surprises visitors with its dramatic cliffs and breathtaking sunsets.,"['Perednya', 'is', 'a', 'lesser', 'known', 'mountain', 'that', 'surprises', 'visitors', 'with', 'its', 'dramatic', 'cliffs', 'and', 'breathtaking', 'sunsets', '.']","(0, 8)","[('Perednya', 0), ('is', 9), ('a', 12), ('lesser', 14), ('known', 21), ('mountain', 27), ('that', 36), ('surprises', 41), ('visitors', 51), ('with', 60), ('its', 65), ('dramatic', 69), ('cliffs', 78), ('and', 85), ('breathtaking', 89), ('sunsets', 102), ('.', 109)]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
